common_name;scientific_name;start_time;end_time;confidence;label;filepath;filename;validScientificNameId;Species_NorwegianName;Family_ScientificName;Family_NorwegianName;Order_ScientificName;Order_NorwegianName;Family_ScientificNameId;Order_ScientificNameId;Species_ScientificNameId;Redlist_Status
European Pied Flycatcher;Ficedula hypoleuca;360.0;363.0;0.6494795680046082;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Common Chiffchaff;Phylloscopus collybita;375.0;378.0;0.6694865822792053;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
European Pied Flycatcher;Ficedula hypoleuca;381.0;384.0;0.752196729183197;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Common Chiffchaff;Phylloscopus collybita;408.0;411.0;0.8422492742538452;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
European Pied Flycatcher;Ficedula hypoleuca;417.0;420.0;0.7947753071784973;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Common Chiffchaff;Phylloscopus collybita;423.0;426.0;0.8911401629447937;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
European Pied Flycatcher;Ficedula hypoleuca;435.0;438.0;0.6975041031837463;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Common Chiffchaff;Phylloscopus collybita;438.0;441.0;0.9479519724845886;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
Common Chiffchaff;Phylloscopus collybita;453.0;456.0;0.9842053055763245;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
European Pied Flycatcher;Ficedula hypoleuca;459.0;462.0;0.835908055305481;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
European Pied Flycatcher;Ficedula hypoleuca;462.0;465.0;0.9726544618606567;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Reed Bunting;Emberiza schoeniclus;468.0;471.0;0.6029954552650452;Emberiza schoeniclus_Reed Bunting;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4208;sivspurv;Emberizidae;buskspurvfamilien;Passeriformes;spurvefugler;;;4208;LC
